"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AAPL","Apple Inc.","127.1","740325470800","n/a","1980","Technology","Computer Manufacturing","http://www.nasdaq.com/symbol/aapl",
"FB","Facebook, Inc.","82.04","229630929220.56","n/a","2012","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/fb",
"GOOGL","Google Inc.","548.54","373348820838.28","n/a","n/a","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/googl",
"ATVI","Activision Blizzard, Inc","22.925","16572903219.6","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi",
"ADBE","Adobe Systems Incorporated","76.53","38285594223","n/a","1986","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe",
"ALTR","Altera Corporation","44.52","13399853580.12","n/a","1988","Technology","Semiconductors","http://www.nasdaq.com/symbol/altr",
"AMAT","Applied Materials, Inc.","22.5","27645676245","n/a","1972","Technology","Semiconductors","http://www.nasdaq.com/symbol/amat",
"ADSK","Autodesk, Inc.","62.74","14254798785.84","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adsk",
"BRCM","Broadcom Corporation","44.23","24314030368.79","n/a","1998","Technology","Semiconductors","http://www.nasdaq.com/symbol/brcm",
"CSCO","Cisco Systems, Inc.","28.04","143136872334.84","n/a","1990","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/csco",
"EA","Electronic Arts Inc.","58.355","18092144594.37","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/ea",
"INTC","Intel Corporation","31.93","151417843991.78","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/intc",
"INTU","Intuit Inc.","98.89","27365441754.53","n/a","1993","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/intu",
"LRCX","Lam Research Corporation","73.1","11646007494.8","n/a","1984","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/lrcx",
"LLTC","Linear Technology Corporation","46.495","11121340280.36","n/a","1986","Technology","Semiconductors","http://www.nasdaq.com/symbol/lltc",
"NTAP","NetApp, Inc.","35.47","11058053280.52","n/a","1995","Technology","Electronic Components","http://www.nasdaq.com/symbol/ntap",
"NVDA","NVIDIA Corporation","22.76","12514363202.36","n/a","1999","Technology","Semiconductors","http://www.nasdaq.com/symbol/nvda",
"QCOM","QUALCOMM Incorporated","69.16","114083576654.32","n/a","1991","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/qcom",
"SNDK","SanDisk Corporation","70.68","15055813970.4","n/a","1995","Technology","Electronic Components","http://www.nasdaq.com/symbol/sndk",
"SYMC","Symantec Corporation","25.58","17455282830.1","n/a","1989","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/symc",
"WDC","Western Digital Corporation","95.89","22153613699.37","n/a","n/a","Technology","Electronic Components","http://www.nasdaq.com/symbol/wdc",
"XLNX","Xilinx, Inc.","43.83","11458797910.92","n/a","1990","Technology","Semiconductors","http://www.nasdaq.com/symbol/xlnx",
"YHOO","Yahoo! Inc.","45.18","42293944701.72","n/a","1996","Technology","EDP Services","http://www.nasdaq.com/symbol/yhoo",
